21319338:亚丽莎,2;小说家,1;理智,1;病人,1;狩猎者,1;
3637760:中国,8;胡人,7;佛教,6;唐朝,5;骨,4;
1305902:生活,22;结婚证,12;纸,11;婚姻,7;主人公,7;
20503566:’,7;‘,7;杨曦,5;【,4;】,4;
1300605:安娜,436;爱,291;男人,254;爱情,244;女人,219;
1296154:魔法师,15;魔法,12;～,11;世界,8;梅林,8;
1298047:律师,92;,46;法律,29;雨,23;鲁迪,21;
1291545:父亲,4677;大鱼,1744;生活,1236;童话,1139;爱德华,951;
1292280:fuck,310;in,234;their,153;monty,128;on,112;
1305677:爱,639;华,393;吉,380;森,359;亨,349;
4732320:阿丽莎,28;阿沛,22;爱,11;爱情,9;暗恋,8;
1862913:母亲,5;gerald,5;动物,5;corfu,4;家人,4;
1308483:tiresia,98;蒂,60;诗人,49;玫瑰,40;男人,39;
5981276:尚贤,16;东贤,10;爱,8;哥哥,7;具,6;
1296766:吸血鬼,34;女秘书,9;凯奇,8;女人,8;主人公,6;
1420077:复仇,46;titus,40;提,28;图斯,27;皇帝,17;
1302474:玛丽,20;诺,14;男人,14;女人,13;•,11;
2042279:外星人,77;星球,57;地球,48;51号,33;人类,33;
1876476:中国,72;仓库,72;日军,58;四行,56;亡,37;
4129619:平行,90;理论,79;宇宙,58;法官,33;妻子,33;
1292531:贪婪,304;巴德,260;华尔街,247;_,162;gekko,158;
1436824:爱,34;女人,22;男人,20;爱情,19;mirabelle,16;
3681613:d,363;动画,188;大闹天宫,175;孙悟空,137;中国,116;
4861395:植物人,240;社会,133;中国,94;药品,65;女主角,63;
1294789:门,199;魔鬼,191;corso,156;第九道,126;书,119;
1302737:四爷,19;阎,18;夜来香,15;徐克,13;卡邦,13;
6869412:版,255;爱,156;石神,134;爱情,121;日,114;
6059006:猪,10;凶手,9;居然,8;领导,6;搭档,5;
1476854:罗拉,18;父亲,14;变,12;装,11;查理,11;
2042975:尼姆,46;nim,43;英雄,39;父亲,37;岛上,31;
1292733:修女,33;clodagh,19;dean,14;洛,13;歌,13;
1440613:音乐,29;贵族,22;印度,21;主人公,15;中国,14;
1493481:康纳斯,44;理论,30;混沌,24;警察,24;德克,21;
1422915:domino,109;多米诺,53;tony,50;scott,37;生活,37;
1759388:艺术,130;画,38;艺术家,38;学生,26;jerome,25;
4309775:blur,8;感受,6;年代,5;音乐,5;猴子,3;
5974273:艾玛,6;著,5;女人,5;情感,5;卡珊卓,4;
1416896:爱,24;蔷薇,22;台湾,18;阿阳,18;葳,14;
1300083:gay,15;－,13;george,13;nina,12;直,12;
2139764:哥哥,43;张国荣,33;短片,29;烟,27;哭,17;
1308714:*,29;terry,20;’,14;],10;s,9;
1295829:anastasia,7;俄罗斯,7;沙皇,6;公主,5;从小,4;
4238742:字幕,2;以后,1;com,1;56,1;外挂,1;
5323911:食人鱼,94;第一部,32;d,23;dd,22;各种,19;
1917313:叶秋,66;古惑仔,55;郑伊健,53;天行者,49;黑社会,45;
2977357:歹徒,45;暴力,41;医生,37;女儿,35;微波炉,33;
2074344:生活,6;弗兰茨,4;表演,3;正好,3;男主角,3;
1448743:感恩,22;日本,10;苦难,9;民族,8;生命,8;
1291842:朋友,583;harry,536;sally,450;爱,399;爱情,394;
1307781:上海,90;爱,89;王菲,88;黎明,77;分手,65;
2080640:爱情,3;无论怎样,2;单纯,2;暧昧,2;扑闪,2;
3778256:印花,2;6,2;制作,2;梦境,1;漫,1;
1301869:男人,48;女人,32;爱,30;米芮儿,21;方斯华,19;
5031411:无厘头,4;四重奏,3;哈,3;社会,3;嘻,3;
2382281:教授,37;小伙子,29;书,8;喷泉,7;研究,6;
1298038:爱情,824;爱,652;生活,502;诺丁山,464;安娜,407;
1780706:loic,27;生活,11;世界,9;marie,8;球员,8;
1300774:雷洛,12;无聊,7;颜,5;阿霞,5;颜同,5;
1308097:`,35;战争,35;安妮,35;维伊科,28;语言,26;
1291585:人类,567;宫崎骏,368;风之谷,336;娜,324;世界,263;
1458889:恐龙,5;大雄,4;边,4;三毛,3;跑,2;
1962932:爱情,10;路,7;张信哲,7;童话,7;～,6;
1494995:看见,5;身影,3;灵魂,3;声音,3;上帝,3;
1401596:布努艾尔,6;恐惧,4;鲁滨逊,3;风格,2;漂流记,2;
3094544:童年,12;杰米,8;成长,7;周围,6;艺术家,6;
1937796:c,3;切,2;英俊,2;两部,2;海因,2;
6953276:•,12;杀人,10;摄影机,9;男孩,8;希安,6;
4892628:黑道,3;哥,2;漫画,2;武器,2;挨打,2;
1304613:gia,266;爱,108;毒品,77;吉娅,65;it,59;
1306609:未来,167;改变,127;时光,92;人类,89;机器,74;
1873399:车臣,8;俄罗斯,8;官兵,6;该,5;战斗,4;
4068816:路易,297;阿玛,217;舌,135;蛇,119;阿,115;
6433906:欺凌,18;為,11;」,11;「,11;裡,8;
6030611:动物,13;笑,9;萌,9;泰,6;囧,6;
1402056:一部分,5;强奸,4;自然,4;高潮,3;弃,3;
6536300:je,33;é,26;que,22;’,19;mon,12;
2976045:马龙,76;蕾,67;娜,67;纽约,39;美国,36;
3811356:beck,122;音乐,79;摇滚,78;乐队,62;小雄,53;
4195550:迷失,2;音乐,2;动画,2;原创,2;街道,2;
2998478:丹,54;恐惧,44;路,42;茱莉,33;战胜,25;
4849922:漫画,23;井上,22;画,21;痛苦,13;漫画家,11;
3082634:女主角,15;逼,9;傻,9;血腥,8;杀手,6;
1440025:萨满教,58;*,50;教授,40;萨满,31;疯癫,27;
1917860:童年,31;父亲,24;消失,19;介,17;亮,16;
1766827:迪特,225;捷克,149;国王,102;百万富翁,87;小个子,86;
3008244:谢利,147;爱,102;爱情,81;女人,79;母亲,51;
1935146:萨特,310;波伏娃,271;女人,128;爱情,123;爱,88;
1300034:德尔苏,107;黑泽明,66;扎拉,45;乌,42;日本,41;
3743063:寻仇,16;摇滚,14;西恩潘,13;父,12;夏安,10;
1293438:007,22;黑人,12;邦德,10;gt,7;邦,7;
21335171:http,131;online,131;douban,131;com,131;www,131;
1306526:恩,408;爱,387;星,349;贤,347;爱情,284;
3245064:小子,1;日本,1;侦探,1;奇幻,1;哪些,1;
10488606:自杀,22;灵,14;相信,12;灵异,12;节目,11;
1297539:emilie,18;母亲,18;antonie,16;弟弟,16;夏天,8;
1305388:麻里,56;美,35;佐,35;女主角,28;2,24;
4858035:相机,13;比如,4;千言万语,4;大抵,3;言语,3;
1941404:意大利,26;男人,13;杰克,12;美女,8;意大利人,7;
1407147:恶心,2;华丽,1;唯一,1;蛮,1;凭空捏造,1;
1293895:ted,8;*,5;keanu,5;bill,5;历史,4;
5367941:戒指,13;小说,10;真爱,10;#,8;甜蜜,8;
1294682:美,3;blog,2;夜晚,2;竟,1;com,1;
3784621:索,5;寂寞,5;失恋,3;整部,3;心,3;
1295307:国王,30;伯爵,16;妻子,7;王宫,4;儿媳,4;
3319775:男人,52;云,49;女人,45;秉,43;女主角,41;
1777013:动作,6;动画,6;定格,4;短片,4;拍摄,3;
1308232:|,4;第一部,3;老公,3;黑,2;袜,2;
3399559:南极,220;生活,119;西村,109;料理,101;日本,78;
1304957:邵氏,19;香港,15;电视,11;香港电影,10;房客,9;
1303218:郭富城,3;可惜,2;f,2;观赏性,1;不到,1;
2010972:男主角,164;暴力,157;高斯林,148;车手,135;驾驶,129;
10744833:夜,52;爱情,48;爱,46;蒲,41;喜爱,31;
1475262:自由,91;西奥,78;意志,74;李奥,68;欲望,46;
1306608:约翰,27;亚,15;蒂,14;娜,14;男人,9;
5345426:一边,2;动画,2;fans,2;主人公,2;受众,1;
1300551:人类,238;宗教,116;世界,112;生活,111;自然,94;
5244249:游戏,13;动画,8;龙,7;2,6;日本,5;
3440954:一组,3;体制,3;乐观,2;逼,2;主题,2;
1821443:七匹狼,2;似的,2;有趣,2;大陆,2;2,2;
1307706:林嘉欣,18;感动,16;鬼,15;谢霆锋,14;陈静,12;
1308259:kenji,49;noi,49;孤独,45;世界,35;健,32;
2057289:哥哥,211;爱,197;弟弟,178;connor,86;手铐,84;
1929477:梅林,31;犯罪,19;mesrine,18;警察,16;越狱,15;
1296646:吸血鬼,72;拉,39;德古,29;阿佳妮,26;爱,25;
3003529:俩,4;半个,3;中国,3;小朋友,3;年代,3;
1292450:00,862;gt,516;01,300;暗花,190;阿琛,173;
1295014:科汉,80;剧,56;诗,46;创作,38;美国,38;
6969563:★,5;爱情,5;潮水,3;http,3;anthony,3;
4173581:车祸,8;情,3;律师,3;er,3;秃鹰,3;
3888538:jr,7;成功,3;二,3;一边,2;剧中,2;
1776964:美奈子,124;槐,63;爱,58;读书,57;生活,45;
1477916:弥,104;西,76;鲸鱼,66;生活,40;动画,38;
1856040:动画,14;结合,4;创意,3;恐龙,3;黑白,3;
1294086:唱,4;郑秀文,3;拖,3;欠,3;看看,3;
1461850:主人公,17;黑帮,13;警察,11;弟弟,11;无间道,8;
1308701:anna,38;lotte,26;荷兰,18;姐姐,16;战争,15;
1452121:铁,44;人类,35;战争,28;luna,24;新造,23;
1299658:卧底,41;警察,41;香港,31;秋,29;龙虎风云,27;
2156948:jolene,68;———,19;男人,18;爱,17;女人,17;
1307903:切拉,19;诺,19;阿富汗,9;生活,9;总统,8;
2062678:尼克松,862;总统,275;nixon,235;美国,235;frost,210;
1401261:雷诺阿,55;社会,43;游戏规则,39;é,36;in,36;
1293174:007,23;邦,13;女郎,13;my,11;索,10;
1293713:猴子,12;猪脚,12;感情,7;兽,5;罗梅罗,4;
6958379:小丑,9;马戏团,7;巴西,7;2012,4;电风扇,4;
10802015:zyga,40;kuba,22;朋友,12;德国,10;波兰,9;
1300275:库,245;bill,240;面具,223;性,211;比尔,198;
1303815:蛋,299;钢,295;卢比,218;朋友,210;笑,99;
5152333:艾玛,44;青春,16;阿图尔,15;戳,14;鸡巴,14;
2130121:绑架,208;林嘉欣,162;刘若英,143;林晓阳,104;女人,97;
1466394:王,1641;孔吉,1576;长生,704;男人,664;戏子,419;
1297826:牛,4;花香,3;嗅,3;＂,2;斗牛士,2;
1293897:in,2;love,1;as,1;era,1;victoria,1;
2305280:张纯如,207;历史,149;南京大屠杀,125;南京,108;中国,104;
1427298:女人,12;电影院,11;男人,10;爱,9;…,8;
3415990:书,7;介绍,3;描写,3;想象,2;世界,2;
1294047:凡尔,41;杜,39;卓别林,37;先生,22;时代,14;
1295920:爱,11;爱情,10;女人,6;爱人,5;玛拉,4;
1418120:动画,8;动物,7;食物,5;人类,5;浣熊,4;
1420094:女孩,6;stone,5;对抗,4;女孩子,2;细节,2;
3998385:王晶,138;旺角,103;监狱,101;阿辉,61;香港电影,57;
1794073:tommy,149;alan,119;爱,77;t,34;旅程,24;
4122328:玄奘,45;理想,16;感动,12;玄奘大师,12;沙漠,11;
1424574:父亲,19;爱,19;男人,16;日记,14;男孩,13;
1307092:thousand,4;窃贼,4;法国,4;妓女,4;紧凑,3;
2078143:etoile,3;位置,2;里耶夫,2;努,2;芭蕾舞,2;
2265740:父亲,76;女儿,68;美国,46;中国,37;语言,35;
4828325:萝,5;莉,5;圣人,3;伞,3;牌,3;
1293656:jason,11;粉丝,11;剧集,10;英雄,9;外星人,8;
1292521:特里,77;码头,53;白兰度,50;工会,49;terry,46;
3187930:童年,6;и,5;帕,5;生活,5;忏悔,4;
1294376:泰勒,15;女人,12;家庭,11;爱,10;田纳西,9;
1295763:爱,64;月,48;拓,45;纱,44;变态,33;
1295116:战争,269;战场,74;,50;士兵,50;保罗,44;
1302966:小津,340;文德斯,164;东京,121;日本,76;寻找,49;
2999913:外星人,243;保罗,145;paul,86;科幻,65;幽默,64;
1757927:西部片,10;酒吧,10;经典,7;可乐,7;克,6;
1294852:星球,4;宇宙,3;机器人,2;只要,2;地球,2;
1456839:my,89;george,59;(,44;),44;lord,44;
1293476:超人,8;玩具,7;涡轮,5;主人公,5;战士,4;
1932889:达尔文,32;奖,31;死亡,23;,22;愚蠢,19;
1972701:特工,96;糊涂,91;笑,63;侦探,57;精明,53;
6809535:女主角,7;并非,7;精彩,7;节奏,5;冰山,5;
4892076:梦想,40;摄像机,31;万,24;瘦肉,21;剧组,19;
4826409:生命,79;老人,47;树,37;灵魂,30;木炭,25;
1309156:海绵,31;宝宝,28;小孩,14;kid,11;大人,11;
3059403:纳粹,59;大卫,57;谎言,56;特工,50;医生,41;
1292264:音乐,53;———,50;奥德赛,44;科恩兄弟,40;狱,39;
4043647:英雄,157;超级,98;*,83;―,52;世界,43;
1303820:张作骥,3;侯孝贤,3;视角,3;风格,3;三部曲,3;
1305804:笑,5;搞笑片,5;女主角,4;女生,4;身体,4;
3698444:活佛,90;巅,70;津,70;巴,65;梭,65;
6019180:家人,460;鬼,453;爱,442;妈妈,367;生活,346;
5279601:猪,53;一只,16;小猪,11;努力,9;模仿,8;
11506870:女主角,6;披上,5;艳遇,4;基本,3;丈夫,3;
1902220:斯,75;帖,75;王,65;哈曼,57;犹太人,46;
1958400:上帝,155;信仰,76;相信,71;教练,68;神,64;
10549242:sm,62;出道,37;艺人,35;舞台,32;明星,29;
4133814:线人,1909;张家辉,854;警察,777;谢霆锋,696;细,528;
